Title,Name,Year,Journal,ArticleURL,Abstract,AuthorCount,Cites,CitesPerAuthor,CitesPerYear,CitesURL,DOI,Age,ECC,FullTextURL,GSRank,Publisher,QueryDate,RelatedURL,Type
Matched vs Nonmatched Placebos in a Randomized Trial of COVID-19 Treatments,"G Reis, LCM Savassi, TS Ferreira, LLF Reis, ...",2024,JAMA Network …,https://jamanetwork.com/journals/jamanetworkopen/article-abstract/2818862,Importance Matched placebo interventions are complex and resource intensive. Recent evidence suggests matched placebos may not always be necessary. Previous studies have …,5,0,0,0,,,1,0,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2818862,28,jamanetwork.com,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:CcJnczARO9MJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
Effect of spirulina on risk of hospitalization among patients with COVID-19: the TOGETHER randomized trial,"G Reis, EASM Silva, DCM Silva, L Thabane, ...",2024,The American Journal of …,https://www.sciencedirect.com/science/article/pii/S0002916524005884,"Background Algae-derived nutraceuticals, such as spirulina, have been reported to have biological activities that may minimize clinical consequences to COVID-19 infections …",5,1,0,1,https://scholar.google.com/scholar?cites=3498570530012610502&as_sdt=2005&sciodt=2007&hl=en,,1,1,https://ajcn.nutrition.org/article/S0002-9165(24)00588-4/pdf,29,Elsevier,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:xj8NX1xrjTAJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
Early treatment of COVID-19 disease: a missed opportunity,"JI Forrest, CR Rayner, JJH Park, EJ Mills",2020,Infectious diseases and therapy,https://link.springer.com/article/10.1007/s40121-020-00349-8,"Antivirals have demonstrated efficacy in treating other infectious diseases in early stages of disease, reducing morbidity, mortality, and the likelihood of onward transmission. At the time …",4,22,6,4.4,https://scholar.google.com/scholar?cites=13578632100252623761&as_sdt=2005&sciodt=2007&hl=en,10.1007/s40121-020-00349-8,5,22,https://link.springer.com/article/10.1007/s40121-020-00349-8,30,Springer,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:kSNG1_P9cLwJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
"A multi-center, adaptive, randomized, platform trial to evaluate the effect of repurposed medicines in outpatients with early coronavirus disease 2019 (COVID …","G Reis, EASM Silva, DCM Silva, ...",2021,Gates Open …,https://gatesopenresearch.org/articles/5-117,"Background: Although vaccines are currently available for coronavirus disease 2019 (COVID-19), there remains a need for an effective and affordable outpatient treatment for …",4,14,4,3.5,https://scholar.google.com/scholar?cites=4490430100987542830&as_sdt=2005&sciodt=2007&hl=en,,4,14,https://gatesopenresearch.org/articles/5-117,31,gatesopenresearch.org,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:Ln0VsmI2UT4J:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
Identifying self-perceived HIV-related stigma in a population accessing antiretroviral therapy,"D Tzemis, JI Forrest, CM Puskas, W Zhang, ...",2013,AIDS care,https://www.tandfonline.com/doi/abs/10.1080/09540121.2012.687809,"This study identifies factors associated with self-perceived HIV-related stigma (stigma) among a cohort of individuals accessing antiretroviral therapy in British Columbia, Canada …",5,35,7,2.92,https://scholar.google.com/scholar?cites=9866657380619594117&as_sdt=2005&sciodt=2007&hl=en,10.1080/09540121.2012.687809,12,35,https://pmc.ncbi.nlm.nih.gov/articles/PMC3879041/pdf/nihms-391195.pdf,32,Taylor &Francis,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:hSlRpJxo7YgJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
"Community mapping and respondent-driven sampling of gay and bisexual men's communities in Vancouver, Canada","JI Forrest, B Stevenson, A Rich, ...",2014,"Culture, health & …",https://www.tandfonline.com/doi/abs/10.1080/13691058.2014.881551,"Literature suggests formative research is vital for those using respondent-driven sampling (RDS) to study hidden populations of interest. However, few authors have described in detail …",4,35,9,3.18,https://scholar.google.com/scholar?cites=9210181420649635510&as_sdt=2005&sciodt=2007&hl=en,10.1080/13691058.2014.881551,11,35,https://pmc.ncbi.nlm.nih.gov/articles/PMC4127385/pdf/nihms564022.pdf,33,Taylor &Francis,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:tl65VjQj0X8J:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
"Factors associated with productive recruiting in a respondent-driven sample of men who have sex with men in Vancouver, Canada","JI Forrest, NJ Lachowsky, A Lal, Z Cui, P Sereda, ...",2016,Journal of Urban …,https://link.springer.com/article/10.1007/s11524-016-0032-2,Respondent-driven sampling (RDS) has become a preferred sampling strategy for HIV research and surveillance in many global settings. Methodological investigation into the …,6,26,4,2.89,https://scholar.google.com/scholar?cites=2866187498583647104&as_sdt=2005&sciodt=2007&hl=en,10.1007/s11524-016-0032-2,9,26,https://pmc.ncbi.nlm.nih.gov/articles/PMC4835350/pdf/11524_2016_Article_32.pdf,34,Springer,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:gGO-IFi-xicJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
"Factors associated with disclosure of HIV status among a cohort of individuals on antiretroviral therapy in British Columbia, Canada","AJ Hirsch Allen, JI Forrest, S Kanters, N O'Brien, ...",2014,AIDS and Behavior,https://link.springer.com/article/10.1007/s10461-013-0623-9,"We sought to examine the prevalence and correlates of HIV-disclosure among treatment-experienced individuals in British Columbia, Canada. Study participants completed an …",5,28,6,2.55,https://scholar.google.com/scholar?cites=8478747000326394801&as_sdt=2005&sciodt=2007&hl=en,10.1007/s10461-013-0623-9,11,28,,35,Springer,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:sRPddnmPqnUJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
Effect of baseline CD4 cell count at linkage to HIV care and at initiation of antiretroviral therapy on mortality in HIV-positive adult patients in Rwanda: a nationwide …,"S Nsanzimana, E Remera, S Kanters, JI Forrest, ...",2015,The lancet HIV,https://www.thelancet.com/journals/lanhiv/article/PIIS2352-3018(15)00112-5/abstract,Background Continued debate exists about whether initiation of antiretroviral therapy (ART) in symptom-free patients at higher baseline CD4 cell counts results in important clinical …,5,23,5,2.3,https://scholar.google.com/scholar?cites=1855355502438126503&as_sdt=2005&sciodt=2007&hl=en,,10,23,https://www.sciencedirect.com/science/article/am/pii/S2352301815001125,36,thelancet.com,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:pxPk1v-LvxkJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
Oral fluvoxamine with inhaled budesonide for treatment of early-onset COVID-19: a randomized platform trial,"G Reis, EA dos Santos Moreira Silva, ...",2023,Annals of internal …,https://www.acpjournals.org/doi/abs/10.7326/M22-3305,Background: Previous trials have demonstrated the effects of fluvoxamine alone and inhaled budesonide alone for prevention of disease progression among outpatients with COVID-19 …,3,34,11,17,https://scholar.google.com/scholar?cites=17850647165170278464&as_sdt=2005&sciodt=2007&hl=en,10.7326/M22-3305,2,34,https://www.acpjournals.org/doi/pdf/10.7326/M22-3305?download=true,37,acpjournals.org,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:QODOGgU9uvcJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
Significant differences in clinical outcomes between HIV-hepatitis C virus coinfected individuals with and without injection drug use history,"A Cescon, K Chan, JM Raboud, AN Burchell, JI Forrest, ...",2014,Aids,https://journals.lww.com/aidsonline/fulltext/2014/01020/significant_differences_in_clinical_outcomes.14.aspx,Objective: Studies focusing on HIV-hepatitis C virus (HCV) coinfected individuals without a history of IDU are limited. It is plausible that poorer clinical outcomes in HIV-HCV coinfection …,6,26,4,2.36,https://scholar.google.com/scholar?cites=9835413250077900428&as_sdt=2005&sciodt=2007&hl=en,,11,26,,38,journals.lww.com,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:jD4Qnj1ofogJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
Towards elimination of mother‐to‐child transmission of HIV in Rwanda: a nested case‐control study of risk factors for transmission,"E Remera, P Mugwaneza, F Chammartin, ...",2021,BMC pregnancy and …,https://link.springer.com/article/10.1186/s12884-021-03806-5,"Background Mother-to-child HIV transmission (MTCT) has substantially declined since the scale-up of prevention programs around the world, including Rwanda. To achieve full …",4,14,4,3.5,https://scholar.google.com/scholar?cites=6165020047211476255&as_sdt=2005&sciodt=2007&hl=en,10.1186/s12884-021-03806-5,4,14,https://link.springer.com/article/10.1186/s12884-021-03806-5,39,Springer,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:H7UzuxGNjlUJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
Cohort profile: longitudinal investigations into supportive and ancillary health services,"KC Duncan, K Salters, JI Forrest, ...",2013,International journal …,https://academic.oup.com/ije/article-abstract/42/4/947/655421,Abstract The Longitudinal Investigations into Supportive and Ancillary health services (LISA) study is a cohort of people living with HIV/AIDS who have ever accessed anti-retroviral …,4,20,5,1.67,https://scholar.google.com/scholar?cites=14104066759334791798&as_sdt=2005&sciodt=2007&hl=en,,12,20,https://academic.oup.com/ije/article/42/4/947/655421,40,academic.oup.com,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:doqLtv21u8MJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
"Trends in plasma HIV-RNA suppression and antiretroviral resistance in British Columbia, 1997–2010","A Cescon, S Kanters, CJ Brumme, ...",2014,JAIDS Journal of …,https://journals.lww.com/jaids/fulltext/2014/01010/Trends_in_Plasma_HIV_RNA_Suppression_and.16.aspx,"Objectives: To examine temporal trends in plasma viral load (pVL) suppression and antiretroviral resistance from 1997 to 2010 in British Columbia (BC), Canada, and determine …",4,22,6,2,https://scholar.google.com/scholar?cites=4664806042618008136&as_sdt=2005&sciodt=2007&hl=en,,11,22,https://pmc.ncbi.nlm.nih.gov/articles/PMC4266465/pdf/nihms-647298.pdf,41,journals.lww.com,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:SJJXbGG4vEAJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
"Perceptions of HIV and fertility among adolescents in Soweto, South Africa: stigma and social barriers continue to hinder progress","JI Forrest, A Kaida, J Dietrich, CL Miller, RS Hogg, ...",2009,AIDS and Behavior,https://link.springer.com/article/10.1007/s10461-009-9552-z,The scale up of highly active antiretroviral therapy (HAART) for the treatment of HIV has raised new concerns relating to fertility desires and outcomes. Among these concerns is …,6,21,4,1.31,https://scholar.google.com/scholar?cites=15623091684211072918&as_sdt=2005&sciodt=2007&hl=en,10.1007/s10461-009-9552-z,16,21,https://link.springer.com/article/10.1007/s10461-009-9552-z,42,Springer,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:lp_Cshxf0NgJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
Early treatment with fluvoxamine among patients with COVID-19: a cost-consequence model,"FP Mills, G Reis, LA Wilson, K Thorlund, ...",2022,… American Journal of …,https://pmc.ncbi.nlm.nih.gov/articles/PMC9833089/,"To date, two published randomized trials have indicated a clinical benefit of early treatment with fluvoxamine versus placebo for adults with symptomatic COVID-19. Using the results of …",5,6,1,2,https://scholar.google.com/scholar?cites=17290147388854530860&as_sdt=2005&sciodt=2007&hl=en,,3,6,https://pmc.ncbi.nlm.nih.gov/articles/PMC9833089/,43,pmc.ncbi.nlm.nih.gov,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:LHPSanHx8u8J:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
"Brief report: Active HIV case finding in the city of Kigali, Rwanda: Assessment of voluntary assisted partner notification modalities to detect undiagnosed HIV …","E Remera, S Nsanzimana, F Chammartin, ...",2022,JAIDS Journal of …,https://journals.lww.com/jaids/fulltext/2022/04010/brief_report__active_hiv_case_finding_in_the_city.9.aspx,"Background: Voluntary assisted partner notification (VAPN) services that use contract, provider, or dual referral modalities may be efficient to identify individuals with undiagnosed …",4,6,2,2,https://scholar.google.com/scholar?cites=5448412795949316483&as_sdt=2005&sciodt=2007&hl=en,,3,6,https://journals.lww.com/jaids/fulltext/2022/04010/brief_report__active_hiv_case_finding_in_the_city.9.aspx,44,journals.lww.com,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:g3lALJKmnEsJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
Associations of rainfall with childhood under-nutrition in Rwanda: an ecological study using the data from Rwanda meteorology agency and the 2010 …,"A Mukabutera, JI Forrest, L Nyirazinyoye, ...",2016,Asian Journal of …,https://www.researchgate.net/profile/Mukabutera-Assumpta/publication/295858407_Associations_of_Rainfall_with_Childhood_Under-nutrition_in_Rwanda_An_Ecological_Study_using_the_Data_from_Rwanda_Meteorology_Agency_and_the_2010_Demographic_and_Health_Survey/links/56cec1bd08ae4d8d649aa16f/Associations-of-Rainfall-with-Childhood-Under-nutrition-in-Rwanda-An-Ecological-Study-using-the-Data-from-Rwanda-Meteorology-Agency-and-the-2010-Demographic-and-Health-Survey.pdf,Seasonality of weather and climate can affect many of the complex pathways of nutrition. Methods: Using Rwanda demographic and health survey (RDHS) and precipitation …,4,9,2,1,https://scholar.google.com/scholar?cites=11060611280298556258&as_sdt=2005&sciodt=2007&hl=en,,9,9,https://www.researchgate.net/profile/Mukabutera-Assumpta/publication/295858407_Associations_of_Rainfall_with_Childhood_Under-nutrition_in_Rwanda_An_Ecological_Study_using_the_Data_from_Rwanda_Meteorology_Agency_and_the_2010_Demographic_and_Health_Survey/links/56cec1bd08ae4d8d649aa16f/Associations-of-Rainfall-with-Childhood-Under-nutrition-in-Rwanda-An-Ecological-Study-using-the-Data-from-Rwanda-Meteorology-Agency-and-the-2010-Demographic-and-Health-Survey.pdf,45,researchgate.net,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:YrvfmFsvf5kJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,PDF
The role of community health workers and local leaders in reducing attrition among participant in the AIDS indicator survey and HIV incidence in a national …,"M Mutagoma, D Sebuhoro, JP Nyemazi, EJ Mills, ...",2018,BMC Public Health,https://link.springer.com/article/10.1186/s12889-018-5243-x,Background Retention of participants in longitudinal prospective surveys can challenging for population health researchers. Community health workers (CHWs) may help reduce attrition …,5,9,2,1.29,https://scholar.google.com/scholar?cites=5624019320543658005&as_sdt=2005&sciodt=2007&hl=en,10.1186/s12889-018-5243-x,7,9,https://link.springer.com/article/10.1186/s12889-018-5243-x,46,Springer,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:FUDwUsaHDE4J:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
Durability of non-nucleotide reverse transcriptase inhibitor-based first-line ART regimens after 7 years of treatment in rural Uganda: a prospective cohort study,"M Nanfuka, JI Forrest, W Zhang, S Okoboi, J Birungi, ...",2021,Medicine,https://journals.lww.com/md-journal/fulltext/2021/05140/Durability_of_non_nucleotide_reverse_transcriptase.26.aspx?context=LatestArticles,Most antiretroviral therapy (ART) programs in resource-limited settings have historically used non-nucleotide reverse transcriptase inhibitor (NNRTI)-based regimens with limited …,6,8,1,2,https://scholar.google.com/scholar?cites=2677020148460020929&as_sdt=2005&sciodt=2007&hl=en,,4,8,https://journals.lww.com/md-journal/fulltext/2021/05140/Durability_of_non_nucleotide_reverse_transcriptase.26.aspx?context=LatestArticles,47,journals.lww.com,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:weSFPaSvJiUJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
How do you circumcise a nation? The Rwandan case study,"V Mutabazi, JI Forrest, N Ford, EJ Mills",2014,BMC medicine,https://link.springer.com/article/10.1186/s12916-014-0184-4,Voluntary medical male circumcision has been conclusively demonstrated to reduce the lifetime risk of male acquisition of HIV. The strategy has been adopted as a component of a …,4,7,2,0.64,https://scholar.google.com/scholar?cites=10372402775405105403&as_sdt=2005&sciodt=2007&hl=en,10.1186/s12916-014-0184-4,11,7,https://link.springer.com/article/10.1186/s12916-014-0184-4,48,Springer,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:-xBMb14t8o8J:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
Toward a New Paradigm of North–South and South–South Partnerships for Pandemic Preparedness: Lessons Learned from COVID-19 and Other Outbreaks,"S Nsanzimana, A Rawat, LA Wilson, ...",2022,… American Journal of …,https://pmc.ncbi.nlm.nih.gov/articles/PMC9768281/,COVID-19 underscores the need to reimagine North–South partnerships and redefine best practices for building public health and research capacity to address emergent health …,4,6,2,2,https://scholar.google.com/scholar?cites=3947374977800068754&as_sdt=2005&sciodt=2007&hl=en,,3,6,https://pmc.ncbi.nlm.nih.gov/articles/PMC9768281/,49,pmc.ncbi.nlm.nih.gov,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:kt4J06DkxzYJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
A latent class analysis of sexual and romantic relationships among HIV-positive and HIV-negative gay and bisexual men in Vancouver,"A Carter, N Lachowsky, JI Forrest, Z Cui, ...",2017,… Canadian Journal of …,https://utppublishing.com/doi/abs/10.3138/cjhs.262.A1,Quantitative studies of gay and bisexual men have often reduced relational experiences to single dimensions and explored linkages with sexual risk behaviours. We sought to …,5,6,1,0.75,https://scholar.google.com/scholar?cites=13285543065942083283&as_sdt=2005&sciodt=2007&hl=en,10.3138/cjhs.262.A1,8,6,https://dralliecarter.com/wp-content/uploads/2019/02/Same-gender-loving-men-and-sexual-wellbeing.pdf,50,utppublishing.com,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:08ahVQe7X7gJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
Factors predictive of 30-day postoperative mortality in HIV/AIDS patients in the era of highly active antiretroviral therapy,"SM Wiseman, JI Forrest, JE Chan, W Zhang, ...",2012,Annals of …,https://journals.lww.com/annalsofsurgery/fulltext/2012/07000/factors_predictive_of_30_day_postoperative.24.aspx,Background: Factors that predict HIV (human immunodeficiency virus)/AIDS patient postoperative mortality have remained poorly defined. Objectives: The primary objective of …,5,7,1,0.54,https://scholar.google.com/scholar?cites=5034182006611002295&as_sdt=2005&sciodt=2007&hl=en,,13,7,,51,journals.lww.com,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:t0O23twB3UUJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
Building clinical trial priorities at the University of Rwanda,"J Condo, B Kateera, E Mutimura, F Birungi, ...",2014,Trials,https://link.springer.com/article/10.1186/1745-6215-15-467,"After the genocide in Rwanda, the country's healthcare system collapsed. Remarkable gains have since been made by the state to provide greater clinical service capacity and expand …",5,8,2,0.73,https://scholar.google.com/scholar?cites=1354942406866963342&as_sdt=2005&sciodt=2007&hl=en,10.1186/1745-6215-15-467,11,8,https://link.springer.com/article/10.1186/1745-6215-15-467,52,Springer,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:jgtrtPC4zRIJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
Resilient clinical trial infrastructure in response to the COVID-19 pandemic: lessons learned from the TOGETHER randomized platform clinical trial,"JI Forrest, A Rawat, F Duailibe, CM Guo, ...",2022,… American Journal of …,https://pmc.ncbi.nlm.nih.gov/articles/PMC8832890/,"In response to the COVID-19 pandemic, clinical research groups across the world developed trial protocols to evaluate the safety and efficacy of treatments for COVID-19 …",5,1,0,0.33,https://scholar.google.com/scholar?cites=4868438883182491936&as_sdt=2005&sciodt=2007&hl=en,,3,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC8832890/,53,pmc.ncbi.nlm.nih.gov,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:ILnKwl4rkEMJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
Factors associated with recent HIV infections among newly HIV diagnosed in Rwanda.,"E Remera, F Chammartin, S Nsanzimana, ...",2022,JAIDS Journal of …,https://journals.lww.com/jaids/abstract/9900/factors_associated_with_recent_hiv_infections.616.aspx,Methods: We included all newly diagnosed HIV patients aged 15 and above who consented to recency testing and assessed patient and health center related predictors of recent HIV …,4,0,0,0,,,3,0,https://journals.lww.com/jaids/_layouts/15/oaks.journals/downloadpdf.aspx?an=00126334-990000000-00616,55,journals.lww.com,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:aU9Xy4BL_VMJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
Early Treatment with Fluvoxamine Among Patients with COVID-19: A Cost-Consequence Model,"G Reis, JI Forrest, CM Guo, EJ Mills",2023,scholar.archive.org,https://scholar.archive.org/work/rbg32nhbd5gujiqdtxek6b7syu/access/wayback/https://www.medrxiv.org/content/medrxiv/early/2021/12/24/2021.12.23.21268352.full.pdf,Background Three randomized trials have been conducted indicating a clinical benefit of early treatment with fluvoxamine versus placebo for adults with symptomatic COVID-19. We …,4,0,0,0,,,0,0,https://scholar.archive.org/work/rbg32nhbd5gujiqdtxek6b7syu/access/wayback/https://www.medrxiv.org/content/medrxiv/early/2021/12/24/2021.12.23.21268352.full.pdf,56,,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:p79up7KJNRoJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,PDF
Correction to: Early Treatment of COVID-19 Disease: A Missed Opportunity,"JI Forrest, CR Rayner, JJH Park, ...",2020,Infectious diseases and …,https://pmc.ncbi.nlm.nih.gov/articles/PMC7649304/,Correction to: Early Treatment of COVID-19 Disease: A Missed Opportunity - PMC Skip to main content Here's how you know Official websites use .gov A .gov website belongs to an official …,4,0,0,0,,,5,0,,57,pmc.ncbi.nlm.nih.gov,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:S1WLo1u2A4kJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
Many pathways to ending AIDS by 2030,"S Nsanzimana, JI Forrest",2018,The Lancet HIV,https://www.thelancet.com/journals/lanhiv/article/PIIS2352-3018(18)30131-0/abstract,"The Rukarara River in western Rwanda is the most distant headwater of the Nile, the longest river in the world. Water originating here joins water from thousands of other tributaries to …",2,1,1,0.14,https://scholar.google.com/scholar?cites=9158816845373813306&as_sdt=2005&sciodt=2007&hl=en,,7,1,,58,thelancet.com,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:OrJeN2WnGn8J:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,CITATION